cat,pid,tid,dur,ts,ph,name,args_op_name,op_name,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
Node,715047,715047,0,7284,X,Squeeze_4_fence_after,Squeeze,Squeeze_4,,,,,,,,
Node,715047,715047,0,7286,X,Slice_1_fence_before,Slice,Slice_1,,,,,,,,
Node,715047,715047,16,7288,X,Slice_1_kernel_time,Slice,Slice_1,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,1,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,7308,X,Slice_1_fence_after,Slice,Slice_1,,,,,,,,
Node,715047,715047,0,7310,X,Squeeze_2_fence_before,Squeeze,Squeeze_2,,,,,,,,
Node,715047,715047,11,7312,X,Squeeze_2_kernel_time,Squeeze,Squeeze_2,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,2,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7330,X,Squeeze_2_fence_after,Squeeze,Squeeze_2,,,,,,,,
Node,715047,715047,0,7332,X,Sub_5_fence_before,Sub,Sub_5,,,,,,,,
Node,715047,715047,12,7334,X,Sub_5_kernel_time,Sub,Sub_5,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2]}, {'float': [2]}]",0,16,5,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7350,X,Sub_5_fence_after,Sub,Sub_5,,,,,,,,
Node,715047,715047,0,7353,X,Pow_6_fence_before,Pow,Pow_6,,,,,,,,
Node,715047,715047,15,7355,X,Pow_6_kernel_time,Pow,Pow_6,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2]}, {'float': []}]",4,8,6,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7373,X,Pow_6_fence_after,Pow,Pow_6,,,,,,,,
Node,715047,715047,0,7376,X,ReduceSum_7_fence_before,ReduceSum,ReduceSum_7,,,,,,,,
Node,715047,715047,16,7378,X,ReduceSum_7_kernel_time,ReduceSum,ReduceSum_7,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}",[{'float': [2]}],0,8,7,4,CPUExecutionProvider,[{'float': []}]
Node,715047,715047,0,7398,X,ReduceSum_7_fence_after,ReduceSum,ReduceSum_7,,,,,,,,
Node,715047,715047,0,7400,X,Add_15_fence_before,Add,Add_15,,,,,,,,
Node,715047,715047,11,7402,X,Add_15_kernel_time,Add,Add_15,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': []}, {'float': []}]",0,8,15,4,CPUExecutionProvider,[{'float': []}]
Node,715047,715047,0,7420,X,Add_15_fence_after,Add,Add_15,,,,,,,,
Session,715047,715047,348,7074,X,SequentialExecutor::Execute,,,,,,,,,,
Session,715047,715047,355,7070,X,model_run,,,,,,,,,,
Node,715047,715047,0,7447,X,Slice_10_fence_before,Slice,Slice_10,,,,,,,,
Node,715047,715047,18,7449,X,Slice_10_kernel_time,Slice,Slice_10,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,10,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,7475,X,Slice_10_fence_after,Slice,Slice_10,,,,,,,,
Node,715047,715047,0,7477,X,Squeeze_11_fence_before,Squeeze,Squeeze_11,,,,,,,,
Node,715047,715047,15,7479,X,Squeeze_11_kernel_time,Squeeze,Squeeze_11,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,11,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7497,X,Squeeze_11_fence_after,Squeeze,Squeeze_11,,,,,,,,
Node,715047,715047,0,7500,X,Slice_8_fence_before,Slice,Slice_8,,,,,,,,
Node,715047,715047,14,7501,X,Slice_8_kernel_time,Slice,Slice_8,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,8,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,7519,X,Slice_8_fence_after,Slice,Slice_8,,,,,,,,
Node,715047,715047,0,7522,X,Squeeze_9_fence_before,Squeeze,Squeeze_9,,,,,,,,
Node,715047,715047,14,7523,X,Squeeze_9_kernel_time,Squeeze,Squeeze_9,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,9,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7541,X,Squeeze_9_fence_after,Squeeze,Squeeze_9,,,,,,,,
Node,715047,715047,0,7543,X,Sub_12_fence_before,Sub,Sub_12,,,,,,,,
Node,715047,715047,16,7545,X,Sub_12_kernel_time,Sub,Sub_12,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2]}, {'float': [2]}]",0,16,12,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7564,X,Sub_12_fence_after,Sub,Sub_12,,,,,,,,
Node,715047,715047,0,7568,X,Abs_13_fence_before,Abs,Abs_13,,,,,,,,
Node,715047,715047,11,7569,X,Abs_13_kernel_time,Abs,Abs_13,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}",[{'float': [2]}],0,8,13,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7587,X,Abs_13_fence_after,Abs,Abs_13,,,,,,,,
Node,715047,715047,0,7590,X,ReduceSum_14_fence_before,ReduceSum,ReduceSum_14,,,,,,,,
Node,715047,715047,11,7592,X,ReduceSum_14_kernel_time,ReduceSum,ReduceSum_14,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}",[{'float': [2]}],0,8,14,4,CPUExecutionProvider,[{'float': []}]
Node,715047,715047,0,7607,X,ReduceSum_14_fence_after,ReduceSum,ReduceSum_14,,,,,,,,
Node,715047,715047,0,7610,X,Slice_3_fence_before,Slice,Slice_3,,,,,,,,
Node,715047,715047,17,7611,X,Slice_3_kernel_time,Slice,Slice_3,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,3,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,7632,X,Slice_3_fence_after,Slice,Slice_3,,,,,,,,
Node,715047,715047,0,7634,X,Squeeze_4_fence_before,Squeeze,Squeeze_4,,,,,,,,
Node,715047,715047,12,7636,X,Squeeze_4_kernel_time,Squeeze,Squeeze_4,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 1]}, {'int64': [1]}]",8,8,4,8,CPUExecutionProvider,[{'float': [2]}]
Node,715047,715047,0,7654,X,Squeeze_4_fence_after,Squeeze,Squeeze_4,,,,,,,,
Node,715047,715047,0,7656,X,Slice_1_fence_before,Slice,Slice_1,,,,,,,,
Node,715047,715047,14,7658,X,Slice_1_kernel_time,Slice,Slice_1,"{'main_thread': {'thread_pool_name': 'session-2-intra-op', 'thread_id': '139965577762624', 'block_size': [], 'core': -1, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139960367707904': {'num_run': 0, 'core': -1}, '139960921331456': {'num_run': 0, 'core': -1}, '139960929724160': {'num_run': 0, 'core': -1}, 'thread::id of a non-executing thread': {'num_run': 0, 'core': -1}, '139964713457408': {'num_run': 0, 'core': -1}, '139964671510272': {'num_run': 0, 'core': -1}, '139962228516608': {'num_run': 0, 'core': -1}, '139962220123904': {'num_run': 0, 'core': -1}, '139962211731200': {'num_run': 0, 'core': -1}, '139962203338496': {'num_run': 0, 'core': -1}, '139961575667456': {'num_run': 0, 'core': -1}, '139961567274752': {'num_run': 0, 'core': -1}, '139961558882048': {'num_run': 0, 'core': -1}, '139961550489344': {'num_run': 0, 'core': -1}, '139961542096640': {'num_run': 0, 'core': -1}, '139961533703936': {'num_run': 0, 'core': -1}, '139961525311232': {'num_run': 0, 'core': -1}, '139960971687680': {'num_run': 0, 'core': -1}, '139960963294976': {'num_run': 0, 'core': -1}, '139960954902272': {'num_run': 0, 'core': -1}, '139960946509568': {'num_run': 0, 'core': -1}, '139960359315200': {'num_run': 0, 'core': -1}}}","[{'float': [2, 2]}, {'int64': [1]}, {'int64': [1]}, {'int64': [1]}]",24,16,1,8,CPUExecutionProvider,"[{'float': [2, 1]}]"
Node,715047,715047,0,7676,X,Slice_1_fence_after,Slice,Slice_1,,,,,,,,
Node,715047,715047,0,7678,X,Squeeze_2_fence_before,Squeeze,Squeeze_2,,,,,,,,
